commenter_nums,movie_name,ranking,score
943415,肖申克的救赎,1,9.6
683484,霸王别姬,2,9.5
894151,这个杀手不太冷,3,9.4
760306,阿甘正传,4,9.4
444419,美丽人生,5,9.5
710406,千与千寻,6,9.2
406922,辛德勒的名单,7,9.4
701273,泰坦尼克号,8,9.2
806739,盗梦空间,9,9.3
528288,机器人总动员,10,9.3
628033,海上钢琴师,11,9.2
717140,三傻大闹宝莱坞,12,9.1
490077,忠犬八公的故事,13,9.2
481613,放牛班的春天,14,9.2
522331,大话西游之大圣娶亲,15,9.2
364114,教父,16,9.2
444424,龙猫,17,9.1
489859,楚门的世界,18,9.1
284931,乱世佳人,19,9.2
284652,熔炉,20,9.2
388933,触不可及,21,9.1
323962,天堂电影院,22,9.1
570879,当幸福来敲门,23,8.9
426734,无间道,24,9.0
518126,星际穿越,25,9.1
181152,十二怒汉,26,9.4
586850,怦然心动,27,8.9
419426,搏击俱乐部,28,9.0
608222,少年派的奇幻漂流,29,9.0
299166,指环王3：王者无敌,30,9.1
243876,鬼子来了,31,9.2
342854,蝙蝠侠：黑暗骑士,32,9.0
350331,天空之城,33,9.0
286065,活着,34,9.1
404905,罗马假日,35,8.9
421671,大话西游之月光宝盒,36,8.9
523796,飞屋环游记,37,8.9
284840,两杆大烟枪,38,9.1
234987,窃听风暴,39,9.1
288704,飞越疯人院,40,9.0
188378,海豚湾,41,9.3
98557,控方证人,42,9.6
338155,闻香识女人,43,8.9
532494,疯狂动物城,44,9.2
437850,V字仇杀队,45,8.8
368491,哈尔的移动城堡,46,8.9
196152,教父2,47,9.1
291786,死亡诗社,48,8.9
317619,美丽心灵,49,8.9
282004,指环王2：双塔奇兵,50,9.0
217838,辩护人,51,9.1
315265,指环王1：魔戒再现,52,8.9
391334,情书,53,8.8
208877,饮食男女,54,9.1
182305,美国往事,55,9.1
498883,天使爱美丽,56,8.7
210361,钢琴家,57,9.0
293309,狮子王,58,8.9
450073,七宗罪,59,8.7
299458,被嫌弃的松子的一生,60,8.9
356981,致命魔术,61,8.8
144028,小鞋子,62,9.2
189975,素媛,63,9.1
303747,勇敢的心,64,8.8
500404,剪刀手爱德华,65,8.7
239933,音乐之声,66,8.9
346776,低俗小说,67,8.8
406992,本杰明·巴顿奇事,68,8.7
291224,黑客帝国,69,8.8
362368,西西里的美丽传说,70,8.7
365233,沉默的羔羊,71,8.7
246844,拯救大兵瑞恩,72,8.9
326538,入殓师,73,8.8
393780,蝴蝶效应,74,8.7
237180,玛丽和马克思,75,8.9
641886,让子弹飞,76,8.7
255200,春光乍泄,77,8.8
279965,心灵捕手,78,8.8
103232,大闹天宫,79,9.2
242229,幽灵公主,80,8.8
278758,阳光灿烂的日子,81,8.7
241297,第六感,82,8.8
340044,重庆森林,83,8.7
305960,看不见的客人,84,8.7
259260,大鱼,85,8.7
369772,禁闭岛,86,8.6
173256,末代皇帝,87,8.9
283108,射雕英雄传之东成西就,88,8.7
132767,狩猎,89,9.0
238241,甜蜜蜜,90,8.8
160285,一一,91,8.9
275850,阳光姐妹淘,92,8.8
327045,致命ID,93,8.6
319630,布达佩斯大饭店,94,8.7
161334,上帝之城,95,8.9
350998,告白,96,8.7
326992,断背山,97,8.6
262940,哈利·波特与魔法石,98,8.7
353195,加勒比海盗,99,8.6
231451,猫鼠游戏,100,8.7
91276,摩登时代,101,9.2
225682,爱在黎明破晓前,102,8.7
538926,阿凡达,103,8.6
149418,穿条纹睡衣的男孩,104,8.9
180062,风之谷,105,8.8
202805,爱在日落黄昏时,106,8.7
363333,消失的爱人,107,8.7
171928,侧耳倾听,108,8.8
207441,萤火虫之墓,109,8.7
175741,超脱,110,8.8
289984,驯龙高手,111,8.7
257019,倩女幽魂,112,8.6
136945,红辣椒,113,8.9
224416,恐怖直播,114,8.7
448560,摔跤吧！爸爸,115,9.1
185063,菊次郎的夏天,116,8.7
228418,幸福终点站,117,8.6
311686,岁月神偷,118,8.6
78572,七武士,119,9.2
100052,海洋,120,9.0
382789,神偷奶爸,121,8.5
220046,借东西的小人阿莉埃蒂,122,8.7
318826,真爱至上,123,8.5
212964,杀人回忆,124,8.6
201205,电锯惊魂,125,8.7
183208,谍影重重3,126,8.7
400345,贫民窟的百万富翁,127,8.5
131863,小森林 夏秋篇,128,8.9
212578,雨人,129,8.6
317998,喜剧之王,130,8.5
253698,东邪西毒,131,8.6
283178,记忆碎片,132,8.5
150271,燃情岁月,133,8.7
141621,喜宴,134,8.8
243628,怪兽电力公司,135,8.6
374802,疯狂原始人,136,8.7
108349,虎口脱险,137,8.9
421994,黑天鹅,138,8.5
121035,卢旺达饭店,139,8.8
164939,英雄本色,140,8.6
285243,恋恋笔记本,141,8.5
250969,猜火车,142,8.5
187250,穿越时空的少女,143,8.6
130425,魂断蓝桥,144,8.8
304741,傲慢与偏见,145,8.4
131389,教父3,146,8.8
93919,雨中曲,147,8.9
80710,完美的世界,148,9.0
146813,纵横四海,149,8.7
158593,萤火之森,150,8.7
176787,7号房的礼物,151,8.7
193450,玩具总动员3,152,8.8
181413,海边的曼彻斯特,153,8.6
275790,哈利·波特与死亡圣器(下),154,8.6
248959,花样年华,155,8.5
138373,荒蛮故事,156,8.7
89217,二十二,157,8.8
104231,我是山姆,158,8.8
113914,小森林 冬春篇,159,8.9
190799,人工智能,160,8.6
133026,浪潮,161,8.7
272382,冰川时代,162,8.4
277324,香水,163,8.4
200425,时空恋旅人,164,8.6
326961,唐伯虎点秋香,165,8.4
370189,超能陆战队,166,8.6
279414,朗读者,167,8.5
162166,心迷宫,168,8.6
295826,蝙蝠侠：黑暗骑士崛起,169,8.5
82315,追随,170,8.9
125521,罗生门,171,8.7
174918,撞车,172,8.6
132750,一次别离,173,8.7
129493,可可西里,174,8.7
175191,战争之王,175,8.5
97400,未麻的部屋,176,8.8
237650,爆裂鼓手,177,8.6
112034,梦之安魂曲,178,8.7
84451,地球上的星星,179,8.8
322972,恐怖游轮,180,8.3
108089,碧海蓝天,181,8.7
168065,达拉斯买家俱乐部,182,8.6
181650,阿飞正传,183,8.5
106732,牯岭街少年杀人事件,184,8.7
159293,谍影重重2,185,8.5
191840,谍影重重,186,8.5
296435,秒速5厘米,187,8.3
259184,被解救的姜戈,188,8.5
194005,魔女宅急便,189,8.5
82635,惊魂记,190,8.9
165154,海盗电台,191,8.6
167965,再次出发之纽约遇见你,192,8.5
220292,青蛇,193,8.4
58439,忠犬八公物语,194,9.0
50363,东京物语,195,9.2
106225,绿里奇迹,196,8.7
79803,哪吒闹海,197,8.8
104196,末路狂花,198,8.7
141539,勇闯夺命岛,199,8.5
140436,终结者2：审判日,200,8.5
124233,卡萨布兰卡,201,8.6
51649,迁徙的鸟,202,9.1
126900,荒野生存,203,8.6
178721,这个男人来自地球,204,8.5
407005,源代码,205,8.3
182472,新龙门客栈,206,8.5
213660,变脸,207,8.4
154732,黑客帝国3：矩阵革命,208,8.5
43523,城市之光,209,9.2
223663,头脑特工队,210,8.7
152070,E.T. 外星人,211,8.5
107570,燕尾蝶,212,8.6
51030,黄金三镖客,213,9.1
185465,发条橙,214,8.4
184603,美国丽人,215,8.4
173387,英国病人,216,8.4
252943,模仿游戏,217,8.5
222283,无耻混蛋,218,8.4
456987,初恋这件小事,219,8.3
149299,房间,220,8.8
108144,叫我第一名,221,8.6
115574,非常嫌疑犯,222,8.6
233443,穆赫兰道,223,8.3
87112,勇士,224,8.9
114515,爱在午夜降临前,225,8.8
95438,上帝也疯狂,226,8.6
183009,无敌破坏王,227,8.6
336964,国王的演讲,228,8.3
271353,蓝色大门,229,8.3
310242,疯狂的石头,230,8.2
111893,一个叫欧维的男人决定去死,231,8.7
130002,血钻,232,8.5
98818,枪火,233,8.6
46943,爱·回家,234,9.0
91203,大卫·戈尔的一生,235,8.6
68408,步履不停,236,8.8
126115,遗愿清单,237,8.5
84366,千钧一发,238,8.7
126734,麦兜故事,239,8.5
131943,荒岛余生,240,8.5
51789,无人知晓,241,9.0
143245,暖暖内含光,242,8.4
171483,彗星来的那一夜,243,8.4
201540,曾经,244,8.3
55960,我爱你,245,9.0
447022,你的名字。,246,8.5
94394,蝴蝶,247,8.6
141903,月球,248,8.5
103612,巴黎淘气帮,249,8.6
55429,与狼共舞,250,8.9
