commenter_nums,movie_name,ranking,score
948264,肖申克的救赎,1,9.6
686806,霸王别姬,2,9.5
897780,这个杀手不太冷,3,9.4
763543,阿甘正传,4,9.4
446487,美丽人生,5,9.5
713534,千与千寻,6,9.2
408525,辛德勒的名单,7,9.4
704424,泰坦尼克号,8,9.2
809741,盗梦空间,9,9.3
530402,机器人总动员,10,9.3
629528,海上钢琴师,11,9.2
719886,三傻大闹宝莱坞,12,9.1
492714,忠犬八公的故事,13,9.2
483461,放牛班的春天,14,9.2
524882,大话西游之大圣娶亲,15,9.2
365283,教父,16,9.2
446143,龙猫,17,9.1
491944,楚门的世界,18,9.1
285893,乱世佳人,19,9.2
285828,熔炉,20,9.2
390689,触不可及,21,9.1
324814,天堂电影院,22,9.1
573079,当幸福来敲门,23,8.9
428444,无间道,24,9.0
520412,星际穿越,25,9.1
commenter_nums,movie_name,ranking,score
64,肖申克的救赎,1,9.6
06,霸王别姬,2,9.5
80,这个杀手不太冷,3,9.4
43,阿甘正传,4,9.4
87,美丽人生,5,9.5
34,千与千寻,6,9.2
25,辛德勒的名单,7,9.4
24,泰坦尼克号,8,9.2
41,盗梦空间,9,9.3
02,机器人总动员,10,9.3
28,海上钢琴师,11,9.2
86,三傻大闹宝莱坞,12,9.1
14,忠犬八公的故事,13,9.2
61,放牛班的春天,14,9.2
82,大话西游之大圣娶亲,15,9.2
83,教父,16,9.2
43,龙猫,17,9.1
44,楚门的世界,18,9.1
93,乱世佳人,19,9.2
28,熔炉,20,9.2
89,触不可及,21,9.1
14,天堂电影院,22,9.1
79,当幸福来敲门,23,8.9
44,无间道,24,9.0
12,星际穿越,25,9.1
